producto,etiquetado,fuente_etiq
Caballo,Los animales deben llevar una etiqueta con el nombre y dirección del propietario.,Ministerio de Agricultura
Carne de vacuno,La carne debe estar etiquetada con el país de origen y la fecha de caducidad.,Ministerio de Salud
Salmón,El salmón debe llevar una etiqueta con la especie y el peso.,Ministerio de Pesca
Leche cruda,La leche debe estar etiquetada con la fecha de producción y caducidad.,Ministerio de Salud
Manzana,Las manzanas deben estar etiquetadas con la variedad y el país de origen.,Ministerio de Agricultura
Rosa,Las rosas deben estar etiquetadas con la variedad y el país de origen.,Ministerio de Agricultura
Papa,Las papas deben estar etiquetadas con la variedad y el país de origen.,Ministerio de Agricultura
Mango,Los mangos deben estar etiquetados con la variedad y el país de origen.,Ministerio de Agricultura
Café en grano,El café debe estar etiquetado con el país de origen y la fecha de tostado.,Ministerio de Agricultura
Trigo,El trigo debe estar etiquetado con el país de origen y la fecha de cosecha.,Ministerio de Agricultura
Harina de trigo,La harina debe estar etiquetada con la fecha de producción y caducidad.,Ministerio de Salud
